ds,y
2023-08-27,124
2023-08-28,171
2023-08-29,146
2023-08-30,156
2023-08-31,165
2023-09-01,170
2023-09-02,114
2023-09-03,126
2023-09-04,148
2023-09-05,145
2023-09-06,181
2023-09-07,160
2023-09-08,135
2023-09-09,143
2023-09-10,161
2023-09-11,169
2023-09-12,130
2023-09-13,145
2023-09-14,171
2023-09-15,141
2023-09-16,134
2023-09-17,139
2023-09-18,137
2023-09-19,150
2023-09-20,102
2023-09-21,135
2023-09-22,147
2023-09-23,108
2023-09-24,151
2023-09-25,129
2023-09-26,144
2023-09-27,152
2023-09-28,172
2023-09-29,129
2023-09-30,143
2023-10-01,126
2023-10-02,135
2023-10-03,157
2023-10-04,153
2023-10-05,141
2023-10-06,151
2023-10-07,120
2023-10-08,128
2023-10-09,160
2023-10-10,174
2023-10-11,132
2023-10-12,183
2023-10-13,122
2023-10-14,125
2023-10-15,136
2023-10-16,156
2023-10-17,142
2023-10-18,149
2023-10-19,145
2023-10-20,144
2023-10-21,141
2023-10-22,134
2023-10-23,143
2023-10-24,167
2023-10-25,159
2023-10-26,167
2023-10-27,164
2023-10-28,118
2023-10-29,122
2023-10-30,167
2023-10-31,165
2023-11-01,156
2023-11-02,159
2023-11-03,177
2023-11-04,124
2023-11-05,142
2023-11-06,156
2023-11-07,156
2023-11-08,177
2023-11-09,173
2023-11-10,173
2023-11-11,156
2023-11-12,137
2023-11-13,173
2023-11-14,159
2023-11-15,169
2023-11-16,163
2023-11-17,167
2023-11-18,149
2023-11-19,128
2023-11-20,198
2023-11-21,153
2023-11-22,150
2023-11-23,186
2023-11-24,182
2023-11-25,153
2023-11-26,154
2023-11-27,172
2023-11-28,159
2023-11-29,174
2023-11-30,164
2023-12-01,189
2023-12-02,146
2023-12-03,137
2023-12-04,172
2023-12-05,184
2023-12-06,170
2023-12-07,167
2023-12-08,184
2023-12-09,157
2023-12-10,146
2023-12-11,175
2023-12-12,187
2023-12-13,162
2023-12-14,164
2023-12-15,175
2023-12-16,155
2023-12-17,164
2023-12-18,210
2023-12-19,202
2023-12-20,188
2023-12-21,191
2023-12-22,177
2023-12-23,163
2023-12-24,160
2023-12-25,199
2023-12-26,183
2023-12-27,204
2023-12-28,220
2023-12-29,196
2023-12-30,175
2023-12-31,180
2024-01-01,194
2024-01-02,204
2024-01-03,202
2024-01-04,204
2024-01-05,192
2024-01-06,174
2024-01-07,182
2024-01-08,228
2024-01-09,222
2024-01-10,240
2024-01-11,197
2024-01-12,223
2024-01-13,182
2024-01-14,213
2024-01-15,200
2024-01-16,200
2024-01-17,205
2024-01-18,183
2024-01-19,208
2024-01-20,173
2024-01-21,187
2024-01-22,223
2024-01-23,247
2024-01-24,234
2024-01-25,212
2024-01-26,208
2024-01-27,197
2024-01-28,170
2024-01-29,251
2024-01-30,242
2024-01-31,218
2024-02-01,200
2024-02-02,247
2024-02-03,192
2024-02-04,213
2024-02-05,205
2024-02-06,220
2024-02-07,230
2024-02-08,231
2024-02-09,225
2024-02-10,208
2024-02-11,183
2024-02-12,231
2024-02-13,236
2024-02-14,242
2024-02-15,246
2024-02-16,219
2024-02-17,179
2024-02-18,222
2024-02-19,243
2024-02-20,227
2024-02-21,262
2024-02-22,241
2024-02-23,257
2024-02-24,206
2024-02-25,237
2024-02-26,268
2024-02-27,238
2024-02-28,257
2024-02-29,252
2024-03-01,264
2024-03-02,194
2024-03-03,219
2024-03-04,260
2024-03-05,218
2024-03-06,227
2024-03-07,215
2024-03-08,242
2024-03-09,221
2024-03-10,233
2024-03-11,248
2024-03-12,272
2024-03-13,227
2024-03-14,222
2024-03-15,247
2024-03-16,218
2024-03-17,212
2024-03-18,218
2024-03-19,247
2024-03-20,229
2024-03-21,259
2024-03-22,255
2024-03-23,199
2024-03-24,206
2024-03-25,234
2024-03-26,249
2024-03-27,264
2024-03-28,235
2024-03-29,258
2024-03-30,206
2024-03-31,202
2024-04-01,248
2024-04-02,234
2024-04-03,242
2024-04-04,232
2024-04-05,279
2024-04-06,214
2024-04-07,203
2024-04-08,253
2024-04-09,248
2024-04-10,246
2024-04-11,258
2024-04-12,260
2024-04-13,205
2024-04-14,204
2024-04-15,244
2024-04-16,214
2024-04-17,225
2024-04-18,268
2024-04-19,272
2024-04-20,208
2024-04-21,220
2024-04-22,251
2024-04-23,293
2024-04-24,263
2024-04-25,244
2024-04-26,231
2024-04-27,186
2024-04-28,212
2024-04-29,233
2024-04-30,222
2024-05-01,234
2024-05-02,227
2024-05-03,268
2024-05-04,220
2024-05-05,206
2024-05-06,263
2024-05-07,242
2024-05-08,227
2024-05-09,262
2024-05-10,247
2024-05-11,188
2024-05-12,201
2024-05-13,224
2024-05-14,216
2024-05-15,250
2024-05-16,264
2024-05-17,214
2024-05-18,209
2024-05-19,190
2024-05-20,226
2024-05-21,224
2024-05-22,219
2024-05-23,232
2024-05-24,218
2024-05-25,200
2024-05-26,195
2024-05-27,225
2024-05-28,214
2024-05-29,218
2024-05-30,238
2024-05-31,233
2024-06-01,177
2024-06-02,193
2024-06-03,234
2024-06-04,197
2024-06-05,230
2024-06-06,211
2024-06-07,229
2024-06-08,176
2024-06-09,159
2024-06-10,193
2024-06-11,218
2024-06-12,220
2024-06-13,202
2024-06-14,224
2024-06-15,157
2024-06-16,180
2024-06-17,194
2024-06-18,201
2024-06-19,211
2024-06-20,197
2024-06-21,203
2024-06-22,192
2024-06-23,167
2024-06-24,219
2024-06-25,188
2024-06-26,212
2024-06-27,225
2024-06-28,166
2024-06-29,160
2024-06-30,179
2024-07-01,197
2024-07-02,205
2024-07-03,189
2024-07-04,199
2024-07-05,194
2024-07-06,184
2024-07-07,169
2024-07-08,199
2024-07-09,187
2024-07-10,185
2024-07-11,185
2024-07-12,197
2024-07-13,155
2024-07-14,165
2024-07-15,219
2024-07-16,200
2024-07-17,182
2024-07-18,204
2024-07-19,179
2024-07-20,125
2024-07-21,140
2024-07-22,154
2024-07-23,176
2024-07-24,181
2024-07-25,205
2024-07-26,184
2024-07-27,148
2024-07-28,163
2024-07-29,144
2024-07-30,180
2024-07-31,187
2024-08-01,152
2024-08-02,191
2024-08-03,151
2024-08-04,139
2024-08-05,181
2024-08-06,205
2024-08-07,173
2024-08-08,173
2024-08-09,162
2024-08-10,129
2024-08-11,154
2024-08-12,154
2024-08-13,167
2024-08-14,158
2024-08-15,172
2024-08-16,169
2024-08-17,154
2024-08-18,130
2024-08-19,159
2024-08-20,147
2024-08-21,155
2024-08-22,167
2024-08-23,172
2024-08-24,121
2024-08-25,147
2024-08-26,179
2024-08-27,165
2024-08-28,186
2024-08-29,146
2024-08-30,138
2024-08-31,105
2024-09-01,154
2024-09-02,166
2024-09-03,155
2024-09-04,159
2024-09-05,138
2024-09-06,191
2024-09-07,131
2024-09-08,131
2024-09-09,164
2024-09-10,160
2024-09-11,156
2024-09-12,141
2024-09-13,159
2024-09-14,156
2024-09-15,148
2024-09-16,175
2024-09-17,144
2024-09-18,136
2024-09-19,149
2024-09-20,152
2024-09-21,143
2024-09-22,101
2024-09-23,173
2024-09-24,148
2024-09-25,144
2024-09-26,135
2024-09-27,125
2024-09-28,138
2024-09-29,127
2024-09-30,131
2024-10-01,131
2024-10-02,145
2024-10-03,175
2024-10-04,146
2024-10-05,104
2024-10-06,123
2024-10-07,146
2024-10-08,110
2024-10-09,150
2024-10-10,147
2024-10-11,161
2024-10-12,155
2024-10-13,144
2024-10-14,147
2024-10-15,135
2024-10-16,190
2024-10-17,153
2024-10-18,153
2024-10-19,128
2024-10-20,132
2024-10-21,151
2024-10-22,145
2024-10-23,146
2024-10-24,154
2024-10-25,146
2024-10-26,120
2024-10-27,132
2024-10-28,152
2024-10-29,179
2024-10-30,117
2024-10-31,173
2024-11-01,176
2024-11-02,102
2024-11-03,128
2024-11-04,153
2024-11-05,138
2024-11-06,148
2024-11-07,144
2024-11-08,187
2024-11-09,150
2024-11-10,156
2024-11-11,173
2024-11-12,146
2024-11-13,156
2024-11-14,172
2024-11-15,146
2024-11-16,150
2024-11-17,136
2024-11-18,161
2024-11-19,178
2024-11-20,175
2024-11-21,163
2024-11-22,187
2024-11-23,127
2024-11-24,153
2024-11-25,180
2024-11-26,167
2024-11-27,178
2024-11-28,155
2024-11-29,188
2024-11-30,145
2024-12-01,141
2024-12-02,192
2024-12-03,167
2024-12-04,157
2024-12-05,155
2024-12-06,189
2024-12-07,134
2024-12-08,180
2024-12-09,151
2024-12-10,208
2024-12-11,187
2024-12-12,183
2024-12-13,177
2024-12-14,164
2024-12-15,158
2024-12-16,204
2024-12-17,190
2024-12-18,192
2024-12-19,185
2024-12-20,190
2024-12-21,168
2024-12-22,138
2024-12-23,173
2024-12-24,206
2024-12-25,198
2024-12-26,193
2024-12-27,197
2024-12-28,173
2024-12-29,161
2024-12-30,188
